date,actions_lock_total,actions_give_total,actions_exit_total,actions_free_total,actions_open_total,actions_bite_total,actions_draw_total,actions_join_total,actions_shut_total,actions_wipe_total
2019-05-16,408,50,350,334,40,6,509,413,34,301
2019-05-17,317,30,219,208,34,5,312,322,18,218
2019-05-28,161,25,83,86,32,1,179,162,10,76
2019-05-29,151,29,82,82,49,0,165,155,12,66
2019-05-30,350,24,213,196,28,16,350,355,14,196
2019-09-27,173,41,75,74,32,1,163,173,22,83
2019-10-17,1284,1114,234,206,1131,487,1437,1286,121,243
2019-11-06,193,36,92,90,44,0,225,194,33,103
2019-11-26,105,46,120,103,30,0,116,105,48,95
2019-12-15,11,11,35,17,4,1,17,12,11,15
2020-01-04,34,19,29,22,17,0,49,34,15,13
2020-01-24,36,14,39,29,8,3,46,36,10,27
2020-02-13,50,34,49,36,18,0,80,50,24,28
2019-03-03,148,46,67,64,51,0,145,151,15,66
2019-03-04,238,35,130,127,52,4,181,241,15,165
2019-03-05,202,34,94,90,38,1,205,204,8,84
2019-03-06,162,34,84,82,84,1,185,161,51,72
2019-06-06,107,24,91,92,21,0,109,107,9,81
2019-06-07,118,13,90,89,15,1,133,120,10,71
2019-06-08,54,11,64,63,19,1,73,55,9,54
2019-06-09,160,7,157,153,13,4,136,162,7,155
2019-05-09,92,27,71,71,28,2,118,100,16,75
2019-05-10,94,15,75,75,27,0,106,94,9,72
2019-05-11,241,13,199,197,17,1,351,248,13,238
2019-08-15,1894,1566,373,342,1555,59,1863,1914,156,442
2019-08-16,1499,1324,290,237,1321,52,1570,1511,158,309
2019-08-17,1443,1303,223,219,1314,3,1567,1445,133,273
2019-09-28,98,37,41,42,40,3,119,98,15,47
2019-10-18,1114,966,227,194,974,475,1188,1120,121,224
2019-11-07,159,36,88,85,49,4,177,161,23,88
2019-11-27,154,57,148,121,29,3,178,156,49,110
2019-12-16,104,32,102,71,9,10,38,106,27,77
2020-01-05,38,21,44,33,10,0,49,38,22,17
2020-01-25,17,10,19,15,7,0,27,17,6,18
2020-02-14,51,28,49,37,18,0,80,51,30,31
2019-03-16,204,29,75,76,29,0,226,204,3,81
2019-03-17,105,26,45,44,33,2,105,105,5,43
2019-03-18,124,24,85,82,37,2,132,124,8,67
2019-04-07,180,24,56,56,29,0,212,180,8,59
2019-04-08,255,21,209,204,37,1,321,256,15,188
2019-04-09,117,24,102,101,30,1,137,120,7,85
2019-08-09,2159,1931,425,412,1933,15,2330,2165,233,482
2019-08-10,2586,2365,358,347,2365,12,2743,2596,221,404
2019-08-11,2218,2025,338,333,2021,6,2425,2219,206,403
2019-09-06,1528,1431,147,142,1440,1,1580,1531,77,174
2019-09-07,1322,1213,141,140,1220,1,1400,1323,92,168
2019-09-08,920,847,107,106,850,0,1010,922,64,115
2019-09-29,133,51,72,72,46,3,122,134,14,74
2019-10-19,964,810,228,176,826,261,1053,971,108,171
2019-11-08,188,31,76,75,43,1,184,187,11,70
2019-11-28,86,27,116,105,20,1,105,87,34,99
2019-12-17,298,48,337,155,17,100,78,331,39,223
2020-01-06,66,29,52,40,18,0,91,66,25,30
2020-01-26,21,19,20,10,10,0,33,21,16,8
2020-02-15,47,13,41,41,12,0,54,46,8,33
2019-03-19,114,44,75,74,44,2,134,114,22,89
2019-03-20,111,36,84,85,31,0,98,111,13,85
2019-03-21,124,39,106,102,35,5,129,127,23,106
2019-06-16,235,25,107,104,36,3,271,237,15,109
2019-06-17,159,26,98,97,41,0,185,159,16,82
2019-06-18,116,36,89,87,32,3,127,116,13,82
2019-07-18,208,45,117,117,31,0,210,209,11,122
2019-07-19,97,62,124,124,38,1,103,97,26,114
2019-07-20,156,50,93,91,32,1,171,158,17,84
2019-08-31,108,22,61,57,16,2,97,112,15,80
2019-09-01,81,21,33,33,23,0,89,81,8,36
2019-09-02,121,18,69,69,28,0,152,121,26,76
2019-09-30,190,72,81,80,67,0,204,191,25,70
2019-10-20,1187,1011,229,217,1031,96,1302,1187,118,241
2019-11-09,120,36,59,59,36,0,154,120,29,77
2019-11-29,65,14,73,60,14,28,81,65,26,57
2019-12-18,203,46,145,97,27,26,108,212,36,114
2020-01-07,42,23,46,29,20,6,60,43,25,22
2020-01-27,35,21,28,18,12,0,52,35,14,18
2020-02-16,48,26,58,47,16,2,46,48,22,40
2019-02-28,184,37,57,56,44,0,161,185,4,77
2019-03-01,140,35,51,49,36,3,132,141,8,43
2019-03-02,153,41,76,77,34,1,131,153,10,91
2019-05-31,285,40,108,107,48,0,269,285,8,110
2019-06-01,140,19,78,77,19,1,159,141,3,76
2019-06-02,122,17,46,46,22,0,143,123,6,59
2019-05-18,123,20,111,109,23,1,144,124,9,90
2019-05-19,246,23,112,109,26,1,265,246,7,95
2019-05-20,188,22,121,120,28,0,193,188,9,115
2019-05-21,218,26,105,101,30,1,225,219,15,83
2019-09-03,112,27,60,60,22,1,117,112,19,61
2019-09-04,87,41,52,52,30,1,106,87,20,60
